zipcode,state,population,is_sud_rehab_clinic_per_100k,is_sud_rehab_clinic_per_100k_capped_viz
81657,CO,5114.0,19.554165037152913,19.554165037152913
45323,OH,5123.0,19.519812609798947,19.519812609798947
62201,IL,5125.0,19.51219512195122,19.51219512195122
97232,OR,15382.0,19.50331556364582,19.50331556364582
93648,CA,15393.0,19.489378288832587,19.489378288832587
92315,CA,5148.0,19.425019425019425,19.425019425019425
13159,NY,5155.0,19.398642095053347,19.398642095053347
25661,WV,5162.0,19.372336303758235,19.372336303758235
61603,IL,15503.0,19.351093336773527,19.351093336773527
60523,IL,10347.0,19.329274185754326,19.329274185754326
28721,NC,10370.0,19.286403085824496,19.286403085824496
80301,CO,25944.0,19.272278754239903,19.272278754239903
58103,ND,46754.0,19.249689866107712,19.249689866107712
98346,WA,10402.0,19.227071716977505,19.227071716977505
55411,MN,31214.0,19.22214390978407,19.22214390978407
01803,MA,26074.0,19.176190841451255,19.176190841451255
80206,CO,26108.0,19.15121801746591,19.15121801746591
05478,VT,15704.0,19.10341314314824,19.10341314314824
23517,VA,5237.0,19.094901661256444,19.094901661256444
99201,WA,15716.0,19.088826673453806,19.088826673453806
85613,AZ,5239.0,19.08761213972132,19.08761213972132
19947,DE,20964.0,19.080328181644724,19.080328181644724
93646,CA,10492.0,19.062142584826535,19.062142584826535
60644,IL,47239.0,19.052054446537817,19.052054446537817
08550,NJ,21034.0,19.016829894456592,19.016829894456592
45750,OH,26327.0,18.99190944657576,18.99190944657576
44117,OH,10533.0,18.98794265641318,18.98794265641318
08244,NJ,10535.0,18.984337921214998,18.984337921214998
62918,IL,10538.0,18.978933383943822,18.978933383943822
17810,PA,5270.0,18.975332068311197,18.975332068311197
37764,TN,10583.0,18.89823301521308,18.89823301521308
23867,VA,5298.0,18.87504718761797,18.87504718761797
82701,WY,5309.0,18.835938971557734,18.835938971557734
27910,NC,10662.0,18.758206715438003,18.758206715438003
75057,TX,16001.0,18.74882819823761,18.74882819823761
25880,WV,5340.0,18.726591760299627,18.726591760299627
55358,MN,5361.0,18.653236336504385,18.653236336504385
17307,PA,5368.0,18.628912071535023,18.628912071535023
63501,MO,21501.0,18.60378587042463,18.60378587042463
62454,IL,10753.0,18.599460615642144,18.599460615642144
24641,VA,5377.0,18.59773107680863,18.59773107680863
56479,MN,5387.0,18.563207722294415,18.563207722294415
97630,OR,5389.0,18.5563184264242,18.5563184264242
19703,DE,16175.0,18.547140649149924,18.547140649149924
76104,TX,21571.0,18.543414769829862,18.543414769829862
90010,CA,5400.0,18.51851851851852,18.51851851851852
97365,OR,10806.0,18.508236165093468,18.508236165093468
58316,ND,5412.0,18.477457501847745,18.477457501847745
17004,PA,5414.0,18.470631695603988,18.470631695603988
91364,CA,27071.0,18.469949392338666,18.469949392338666
19462,PA,16267.0,18.44224503596238,18.44224503596238
21826,MD,5436.0,18.39587932303164,18.39587932303164
78390,TX,5447.0,18.358729575913348,18.358729575913348
17110,PA,27239.0,18.356033628253606,18.356033628253606
02891,RI,21803.0,18.346099160665965,18.346099160665965
92008,CA,27282.0,18.327102118613006,18.327102118613006
61356,IL,10915.0,18.323408153916628,18.323408153916628
41653,KY,10937.0,18.28655024229679,18.28655024229679
63401,MO,21901.0,18.264006209762112,18.264006209762112
08007,NJ,5486.0,18.22821728034998,18.22821728034998
85013,AZ,21970.0,18.206645425580337,18.206645425580337
60957,IL,5499.0,18.18512456810329,18.18512456810329
46402,IN,5502.0,18.175209014903672,18.175209014903672
90064,CA,27553.0,18.146844263782526,18.146844263782526
70006,LA,16540.0,18.13784764207981,18.13784764207981
85712,AZ,33108.0,18.12250815512867,18.12250815512867
81067,CO,5521.0,18.112660749864155,18.112660749864155
64628,MO,5527.0,18.09299800977022,18.09299800977022
98499,WA,33188.0,18.07882367120646,18.07882367120646
56364,MN,5562.0,17.979144192736424,17.979144192736424
07058,NJ,5584.0,17.908309455587393,17.908309455587393
05465,VT,5587.0,17.89869339538214,17.89869339538214
80525,CO,55901.0,17.888767642797088,17.888767642797088
77011,TX,16841.0,17.813669022029572,17.813669022029572
67207,KS,28143.0,17.76640727712042,17.76640727712042
31522,GA,16892.0,17.759886336727448,17.759886336727448
10606,NY,16929.0,17.7210703526493,17.7210703526493
10913,NY,5647.0,17.708517797060384,17.708517797060384
96001,CA,33914.0,17.69180869257534,17.69180869257534
59860,MT,11309.0,17.68502962242462,17.68502962242462
76501,TX,16987.0,17.660563960675812,17.660563960675812
48471,MI,5668.0,17.642907551164434,17.642907551164434
81632,CO,11343.0,17.632019747862117,17.632019747862117
20850,MD,51045.0,17.63150161622098,17.63150161622098
02061,MA,11351.0,17.61959298740199,17.61959298740199
51601,IA,5681.0,17.602534765006162,17.602534765006162
63124,MO,11375.0,17.58241758241758,17.58241758241758
83402,ID,28452.0,17.57345705047097,17.57345705047097
82716,WY,17094.0,17.55001755001755,17.55001755001755
97401,OR,45634.0,17.530788447210412,17.530788447210412
44820,OH,17114.0,17.52950800514199,17.52950800514199
38126,TN,5717.0,17.491691446562882,17.491691446562882
19129,PA,11437.0,17.48710326134476,17.48710326134476
62286,IL,5719.0,17.485574401119077,17.485574401119077
90720,CA,22955.0,17.425397516880857,17.425397516880857
12206,NY,17219.0,17.422614553690693,17.422614553690693
61021,IL,22984.0,17.40341106856944,17.40341106856944
56572,MN,5747.0,17.400382808421785,17.400382808421785
60619,IL,63303.0,17.376743598249686,17.376743598249686
84097,UT,23038.0,17.36261828283705,17.36261828283705
40243,KY,11521.0,17.359604201024215,17.359604201024215
44129,OH,28803.0,17.35930285039753,17.35930285039753
70508,LA,40343.0,17.351213345561806,17.351213345561806
24263,VA,5770.0,17.33102253032929,17.33102253032929
38804,MS,17314.0,17.327018597666626,17.327018597666626
21252,MD,5775.0,17.316017316017316,17.316017316017316
80110,CO,23279.0,17.182868679926113,17.182868679926113
56362,MN,5825.0,17.16738197424893,17.16738197424893
87571,NM,11650.0,17.16738197424893,17.16738197424893
21136,MD,34973.0,17.15609184227833,17.15609184227833
56334,MN,5830.0,17.152658662092623,17.152658662092623
84624,UT,5836.0,17.135023989033584,17.135023989033584
84339,UT,5847.0,17.10278775440397,17.10278775440397
43213,OH,35105.0,17.09158239567013,17.09158239567013
60515,IL,29278.0,17.077669239702164,17.077669239702164
78013,TX,5868.0,17.041581458759374,17.041581458759374
33463,FL,64608.0,17.02575532441803,17.02575532441803
61944,IL,11780.0,16.977928692699493,16.977928692699493
98362,WA,23571.0,16.970005515251792,16.970005515251792
21211,MD,17721.0,16.929067208396816,16.929067208396816
69153,NE,5914.0,16.909029421711192,16.909029421711192
07114,NJ,17767.0,16.885236674734056,16.885236674734056
86403,AZ,17787.0,16.866250632484398,16.866250632484398
80918,CO,47453.0,16.85878658883527,16.85878658883527
27344,NC,17834.0,16.8218010541662,16.8218010541662
08318,NJ,11896.0,16.812373907195695,16.812373907195695
80112,CO,35713.0,16.800604821773586,16.800604821773586
08037,NJ,23814.0,16.79684219366759,16.79684219366759
94945,CA,17876.0,16.782277914522265,16.782277914522265
02822,RI,5960.0,16.778523489932883,16.778523489932883
45879,OH,5963.0,16.770082173402653,16.770082173402653
93401,CA,29877.0,16.735281320078993,16.735281320078993
38372,TN,17939.0,16.723340208484306,16.723340208484306
70427,LA,17941.0,16.72147594894376,16.72147594894376
62450,IL,11978.0,16.69727834362999,16.69727834362999
70583,LA,11981.0,16.693097404223355,16.693097404223355
06604,CT,30003.0,16.66500016665,16.66500016665
03561,NH,6005.0,16.65278934221482,16.65278934221482
89102,NV,36035.0,16.65047870126266,16.65047870126266
60187,IL,30059.0,16.63395322532353,16.63395322532353
93723,CA,12037.0,16.615435739802276,16.615435739802276
08036,NJ,6021.0,16.608536787908985,16.608536787908985
33305,FL,12044.0,16.605778811026237,16.605778811026237
92651,CA,24096.0,16.600265604249667,16.600265604249667
19025,PA,6033.0,16.57550140891762,16.57550140891762
81621,CO,6034.0,16.572754391779913,16.572754391779913
84741,UT,6034.0,16.572754391779913,16.572754391779913
27609,NC,36218.0,16.566348224639682,16.566348224639682
45405,OH,18124.0,16.55263738689031,16.55263738689031
44122,OH,36268.0,16.543509429800373,16.543509429800373
92356,CA,6050.0,16.528925619834713,16.528925619834713
33460,FL,36409.0,16.479441896234448,16.479441896234448
