zipcode,state,population,is_substance_abuse_rehab,is_substance_abuse_rehab_capped_viz
48234,MI,31442.0,4,4.0
92661,CA,3457.0,4,4.0
92201,CA,66989.0,4,4.0
42001,KY,31579.0,4,4.0
86001,AZ,37093.0,4,4.0
92108,CA,24266.0,4,4.0
53005,WI,21433.0,4,4.0
90028,CA,32330.0,4,4.0
55390,MN,3186.0,4,4.0
85138,AZ,46914.0,4,4.0
73127,OK,27007.0,4,4.0
94804,CA,45108.0,4,4.0
33406,FL,27663.0,4,4.0
34953,FL,77023.0,4,4.0
33330,FL,14738.0,4,4.0
94509,CA,69931.0,4,4.0
55102,MN,20355.0,4,4.0
08901,NJ,56278.0,4,4.0
53204,WI,39728.0,4,4.0
91331,CA,100720.0,4,4.0
67207,KS,28143.0,4,4.0
84401,UT,42968.0,4,4.0
84606,UT,33791.0,4,4.0
08817,NJ,48243.0,4,4.0
55429,MN,28755.0,4,4.0
08068,NJ,6628.0,4,4.0
84647,UT,4549.0,4,4.0
33314,FL,30248.0,4,4.0
78653,TX,31167.0,4,4.0
94518,CA,27209.0,4,4.0
90045,CA,41035.0,4,4.0
90232,CA,16452.0,4,4.0
89130,NV,34212.0,4,4.0
94952,CA,33619.0,4,4.0
94947,CA,24870.0,4,4.0
95501,CA,23323.0,4,4.0
70808,LA,32510.0,4,4.0
91103,CA,26887.0,4,4.0
91101,CA,20583.0,4,4.0
27530,NC,37470.0,4,4.0
21117,MD,59154.0,4,4.0
07018,NJ,30429.0,4,4.0
37865,TN,22567.0,4,4.0
92110,CA,31048.0,4,4.0
91786,CA,55763.0,4,4.0
92083,CA,39219.0,4,4.0
91950,CA,57849.0,4,4.0
91945,CA,27814.0,4,4.0
92113,CA,50457.0,4,4.0
35205,AL,20137.0,4,4.0
08330,NJ,29548.0,4,4.0
95817,CA,14270.0,4,4.0
89120,NV,24813.0,4,4.0
85207,AZ,50108.0,4,4.0
46227,IN,62126.0,4,4.0
33455,FL,20799.0,4,4.0
37129,TN,60494.0,4,4.0
33484,FL,26340.0,4,4.0
33469,FL,15101.0,3,3.0
19004,PA,10668.0,3,3.0
11418,NY,37596.0,3,3.0
77479,TX,93180.0,3,3.0
19047,PA,35452.0,3,3.0
19140,PA,52124.0,3,3.0
11434,NY,66964.0,3,3.0
11226,NY,101727.0,3,3.0
11203,NY,81824.0,3,3.0
08724,NJ,41458.0,3,3.0
18702,PA,42133.0,3,3.0
14303,NY,5958.0,3,3.0
15219,PA,10949.0,3,3.0
45246,OH,15249.0,3,3.0
45652,OH,3131.0,3,3.0
65807,MO,55168.0,3,3.0
62906,IL,7464.0,3,3.0
54935,WI,42513.0,3,3.0
45150,OH,33735.0,3,3.0
94965,CA,11447.0,3,3.0
32301,FL,29686.0,3,3.0
78210,TX,33010.0,3,3.0
94591,CA,56305.0,3,3.0
85085,AZ,27875.0,3,3.0
85323,AZ,44632.0,3,3.0
42718,KY,26099.0,3,3.0
71104,LA,13680.0,3,3.0
23222,VA,24337.0,3,3.0
23518,VA,30278.0,3,3.0
33326,FL,33978.0,3,3.0
59912,MT,15395.0,3,3.0
97218,OR,14748.0,3,3.0
84057,UT,38401.0,3,3.0
71292,LA,22774.0,3,3.0
61615,IL,24314.0,3,3.0
33351,FL,36913.0,3,3.0
43205,OH,12044.0,3,3.0
87108,NM,36773.0,3,3.0
46544,IN,31571.0,3,3.0
70380,LA,21079.0,3,3.0
53205,WI,9397.0,3,3.0
27405,NC,51506.0,3,3.0
43207,OH,46853.0,3,3.0
43026,OH,64607.0,3,3.0
84058,UT,33734.0,3,3.0
71730,AR,31103.0,3,3.0
40047,KY,23597.0,3,3.0
40222,KY,21725.0,3,3.0
97330,OR,43947.0,3,3.0
49660,MI,14134.0,3,3.0
49783,MI,18690.0,3,3.0
75103,TX,15162.0,3,3.0
27320,NC,37843.0,3,3.0
33317,FL,37590.0,3,3.0
55033,MN,29701.0,3,3.0
52240,IA,34224.0,3,3.0
44115,OH,8985.0,3,3.0
33312,FL,51570.0,3,3.0
59701,MT,33937.0,3,3.0
07306,NJ,55342.0,3,3.0
85365,AZ,50166.0,3,3.0
44024,OH,23795.0,3,3.0
37206,TN,27792.0,3,3.0
45206,OH,10670.0,3,3.0
78752,TX,19289.0,3,3.0
61822,IL,25091.0,3,3.0
62062,IL,8297.0,3,3.0
60950,IL,11996.0,3,3.0
90402,CA,12295.0,3,3.0
